YEAR,MO,DY,T2MDEW,TS,QV2M,RH2M,WS10M,PS,T2M_RANGE
2023,7,1,22.62,26.33,18.86,84.0,1.91,91.9,6.98
2023,7,2,22.83,28.03,19.1,80.38,1.8,91.81,7.73
2023,7,3,23.14,27.33,19.47,83.25,2.7,91.79,6.66
2023,7,4,23.0,25.72,19.29,87.31,2.62,91.86,5.46
2023,7,5,22.69,25.06,18.92,87.12,2.02,91.82,3.61
2023,7,6,22.62,27.14,18.92,79.75,2.38,91.89,6.7
2023,7,7,22.87,27.1,19.1,81.88,3.34,92.0,6.87
2023,7,8,23.39,27.36,19.71,82.88,3.19,92.07,6.76
2023,7,9,23.55,27.76,19.9,82.31,2.53,91.98,6.64
2023,7,10,23.49,28.01,19.84,81.06,2.68,91.91,8.09
2023,7,11,23.93,27.18,20.39,84.88,2.63,91.88,5.41
2023,7,12,23.78,27.87,20.2,84.0,2.74,91.86,7.59
2023,7,13,23.8,25.87,20.26,90.12,2.91,91.88,4.84
2023,7,14,22.88,24.83,19.1,90.38,2.24,91.93,3.35
2023,7,15,23.14,26.5,19.41,84.25,1.96,91.91,6.42
2023,7,16,23.76,26.83,20.2,85.31,2.42,91.84,5.16
2023,7,17,23.22,26.21,19.59,86.38,2.3,91.8,6.28
2023,7,18,22.01,25.15,18.13,82.75,1.96,91.86,5.36
2023,7,19,22.55,26.9,18.8,78.31,2.11,91.75,7.53
2023,7,20,23.91,26.93,20.51,84.06,2.4,91.7,6.54
2023,7,21,23.28,27.43,19.59,81.44,2.49,91.99,7.55
2023,7,22,23.23,27.06,19.53,82.31,2.71,92.23,6.84
2023,7,23,23.38,26.68,19.71,84.31,2.67,92.2,6.3
2023,7,24,22.46,25.52,18.68,85.25,2.4,92.03,5.77
2023,7,25,22.7,25.88,18.92,84.88,2.15,92.05,6.24
2023,7,26,22.73,25.49,18.92,86.06,2.01,92.1,5.49
2023,7,27,22.6,25.96,18.8,83.12,1.95,91.98,5.6
2023,7,28,23.63,26.27,20.08,85.94,2.65,91.68,5.66
2023,7,29,24.02,25.87,20.57,90.25,2.46,91.68,5.01
2023,7,30,23.71,25.69,20.2,90.19,2.1,91.6,4.77
2023,7,31,23.72,26.73,20.26,84.38,2.11,91.48,6.4
2023,8,1,23.74,27.25,20.32,81.62,1.51,91.41,5.91
2023,8,2,23.61,26.5,20.14,82.5,1.21,91.43,5.27
2023,8,3,23.9,26.8,20.45,85.56,2.61,91.51,6.49
2023,8,4,23.21,25.22,19.59,88.56,2.51,91.77,4.56
2023,8,5,23.29,25.22,19.59,90.69,1.96,91.82,5.37
2023,8,6,22.72,24.58,18.98,90.94,2.03,91.58,3.85
2023,8,7,23.76,24.97,20.32,93.94,3.41,91.35,4.64
2023,8,8,23.69,25.49,20.2,91.38,1.91,91.51,5.86
2023,8,9,23.42,25.14,19.78,91.75,1.97,91.82,3.87
2023,8,10,23.86,25.48,20.32,92.38,2.49,91.98,5.57
2023,8,11,23.74,25.65,20.14,91.12,2.2,91.94,5.49
2023,8,12,24.12,25.58,20.69,93.19,4.55,91.69,4.32
2023,8,13,23.4,24.4,19.78,94.44,3.64,91.82,4.62
2023,8,14,23.07,25.36,19.35,89.88,2.59,92.02,6.27
2023,8,15,22.76,24.85,18.98,90.12,2.09,91.99,5.12
2023,8,16,23.81,25.75,20.26,90.56,2.38,91.95,5.77
2023,8,17,23.74,26.26,20.14,87.0,1.58,91.96,6.11
2023,8,18,24.0,25.99,20.51,89.0,1.79,91.98,5.46
2023,8,19,24.13,26.36,20.63,89.31,2.79,92.06,5.65
2023,8,20,23.14,25.15,19.41,89.25,2.16,92.11,4.52
2023,8,21,22.47,25.74,18.62,84.69,1.52,91.97,6.78
2023,8,22,23.24,25.65,19.53,88.94,1.48,91.91,5.17
2023,8,23,23.25,24.55,19.59,92.19,1.75,91.86,3.48
2023,8,24,23.67,25.16,20.14,92.88,2.59,91.6,4.98
2023,8,25,23.44,24.61,19.84,94.0,2.54,91.65,3.89
2023,8,26,23.12,24.35,19.47,93.19,2.27,91.61,3.45
2023,8,27,23.88,25.43,20.45,93.12,4.36,91.59,5.42
2023,8,28,23.02,25.01,19.35,91.62,3.03,91.76,5.24
2023,8,29,22.69,24.98,18.92,89.69,1.99,91.97,5.95
2023,8,30,22.87,25.2,19.1,88.94,1.97,92.11,6.3
2023,8,31,22.94,25.27,19.17,88.88,2.02,92.16,6.02
2023,9,1,23.44,24.73,19.78,93.0,2.47,92.11,4.51
2023,9,2,23.56,25.12,19.9,91.44,1.91,92.05,4.75
2023,9,3,23.81,25.3,20.26,89.38,1.2,91.96,4.33
2023,9,4,23.4,25.91,19.84,85.88,1.2,91.92,5.2
2023,9,5,22.16,25.53,18.31,81.62,0.92,92.05,5.41
2023,9,6,22.03,25.66,18.31,78.5,1.69,92.11,6.24
2023,9,7,21.83,25.75,17.94,78.88,1.77,92.13,6.61
2023,9,8,22.33,23.98,18.49,89.12,1.89,92.1,3.45
2023,9,9,22.17,23.73,18.25,90.19,2.54,92.13,3.46
2023,9,10,22.9,25.29,19.23,87.06,1.46,91.98,5.73
2023,9,11,23.54,25.23,19.96,89.06,1.94,91.85,4.91
2023,9,12,23.5,25.05,19.9,92.31,2.12,91.87,5.21
2023,9,13,22.48,25.76,18.68,84.0,2.02,91.97,7.5
2023,9,14,23.27,25.5,19.59,87.94,1.89,92.06,6.11
2023,9,15,23.0,24.86,19.23,89.19,2.72,92.21,4.74
2023,9,16,22.76,25.22,19.04,87.06,1.58,92.21,6.29
2023,9,17,23.01,25.07,19.29,87.44,1.4,92.1,4.73
2023,9,18,22.33,25.37,18.55,83.38,1.45,92.09,7.05
2023,9,19,22.55,25.43,18.68,84.31,1.84,92.27,6.04
2023,9,20,21.98,24.9,18.07,84.56,1.65,92.3,5.62
2023,9,21,22.27,24.55,18.37,88.06,1.88,92.23,5.2
2023,9,22,21.72,23.7,17.76,88.81,1.62,92.21,4.39
2023,9,23,21.35,23.26,17.4,88.88,1.55,92.19,4.06
2023,9,24,21.57,23.87,17.64,86.5,1.82,92.12,6.74
2023,9,25,21.44,23.35,17.46,89.75,2.1,92.25,5.8
2023,9,26,22.09,24.33,18.19,88.0,1.71,92.28,6.56
2023,9,27,22.36,24.6,18.49,88.12,1.72,92.23,6.43
2023,9,28,22.44,24.43,18.55,87.94,1.78,92.22,6.3
2023,9,29,22.44,25.01,18.68,84.44,1.55,92.21,5.91
2023,9,30,22.68,23.9,18.86,91.25,1.38,92.23,4.26
2023,10,1,22.28,24.09,18.43,88.56,1.61,92.13,4.6
2023,10,2,22.33,23.63,18.43,89.56,0.95,92.23,3.34
2023,10,3,22.4,23.46,18.55,91.81,1.28,92.23,2.98
2023,10,4,21.89,23.57,17.94,89.56,1.76,92.26,4.3
2023,10,5,21.39,23.59,17.4,88.0,1.88,92.22,5.73
2023,10,6,21.31,23.15,17.33,91.44,2.41,92.17,6.83
2023,10,7,21.29,23.15,17.27,90.06,1.95,92.3,6.27
2023,10,8,20.33,22.8,16.3,83.06,1.62,92.33,6.04
2023,10,9,20.52,22.87,16.48,83.81,1.62,92.4,6.52
2023,10,10,20.86,23.05,16.78,86.81,1.72,92.51,6.71
2023,10,11,19.32,22.33,15.32,78.25,1.53,92.49,6.23
2023,10,12,17.65,21.68,13.73,74.56,1.78,92.63,7.9
2023,10,13,16.2,20.78,12.45,68.81,1.74,92.76,7.81
2023,10,14,16.7,20.35,12.94,73.38,1.76,92.68,7.59
2023,10,15,17.92,20.66,13.98,81.31,1.92,92.54,7.59
2023,10,16,19.09,21.1,15.08,85.5,1.7,92.69,6.59
2023,10,17,17.82,20.43,13.92,81.62,1.56,92.79,6.52
2023,10,18,16.48,19.51,12.88,78.31,1.48,92.79,7.05
2023,10,19,16.01,19.15,12.45,77.31,1.64,92.81,7.2
2023,10,20,15.27,18.81,11.78,73.75,1.68,92.91,7.24
2023,10,21,14.51,18.55,11.23,70.0,1.72,93.0,7.27
2023,10,22,14.45,18.98,11.29,67.88,1.52,92.97,7.95
2023,10,23,15.15,19.42,11.9,69.75,1.68,92.91,7.96
2023,10,24,15.21,19.4,12.02,70.62,1.59,92.79,7.02
2023,10,25,16.55,19.88,13.0,75.88,1.69,92.79,6.7
2023,10,26,16.65,19.58,13.06,77.56,1.81,92.76,6.77
2023,10,27,15.45,18.76,11.9,74.5,1.67,92.73,6.47
2023,10,28,14.58,18.5,11.23,71.75,1.7,92.82,7.73
2023,10,29,15.07,18.16,11.6,74.81,1.59,92.86,6.3
2023,10,30,14.62,18.36,11.29,70.12,1.84,92.91,7.62
2023,10,31,15.09,19.52,11.66,67.88,1.39,93.03,8.09
2023,11,1,16.2,19.4,12.51,74.75,1.44,93.04,6.12
2023,11,2,16.2,18.57,12.57,79.0,1.7,92.87,6.98
2023,11,3,15.08,18.3,11.66,72.56,1.55,92.7,6.62
2023,11,4,14.1,17.69,10.93,70.31,1.54,92.67,6.27
2023,11,5,13.52,17.44,10.5,70.12,1.52,92.84,6.84
2023,11,6,13.47,17.47,10.44,70.81,1.64,92.98,7.7
2023,11,7,13.1,16.77,10.19,70.31,1.86,92.88,7.46
2023,11,8,12.35,16.32,9.7,68.5,1.8,92.76,7.48
2023,11,9,12.54,16.36,9.89,68.44,1.42,92.78,7.67
2023,11,10,13.47,17.06,10.44,70.06,1.54,92.97,7.74
2023,11,11,13.91,17.05,10.8,73.81,1.62,93.03,7.3
2023,11,12,14.16,17.13,10.93,74.81,1.71,93.03,6.83
2023,11,13,13.62,16.88,10.5,71.12,1.56,93.11,7.99
2023,11,14,13.52,17.86,10.56,67.31,1.39,93.05,7.25
2023,11,15,14.62,18.39,11.23,73.12,1.61,93.04,6.88
2023,11,16,14.65,18.14,11.23,73.81,1.64,93.19,8.75
2023,11,17,13.58,18.33,10.56,65.5,1.73,93.09,8.73
2023,11,18,14.19,17.62,10.93,73.0,1.78,92.99,7.82
2023,11,19,15.27,18.41,11.72,77.94,1.62,93.12,7.94
2023,11,20,14.09,17.74,10.86,70.75,1.62,93.04,7.21
2023,11,21,12.94,16.61,10.13,70.56,1.49,92.81,7.12
2023,11,22,12.21,15.85,9.64,70.38,1.34,92.72,7.01
2023,11,23,11.24,15.55,9.03,65.81,1.4,92.76,8.01
2023,11,24,11.87,16.13,9.46,66.75,1.48,92.89,7.34
2023,11,25,12.23,16.21,9.64,68.44,1.72,93.03,7.79
2023,11,26,12.76,16.57,9.95,69.06,1.46,93.17,8.61
2023,11,27,12.78,16.55,10.07,71.62,1.38,93.05,7.45
2023,11,28,13.02,17.23,10.19,70.56,1.37,92.89,8.23
2023,11,29,13.14,16.97,10.31,71.69,1.34,92.93,7.72
2023,11,30,11.81,16.79,9.52,65.38,1.49,93.03,8.24
2023,12,1,11.64,17.62,9.22,65.5,1.78,93.01,9.39
2023,12,2,10.72,16.58,8.79,58.94,1.9,92.94,8.55
2023,12,3,10.12,16.78,8.48,57.31,2.23,92.97,9.81
2023,12,4,10.27,16.69,8.54,58.88,1.95,92.92,9.62
2023,12,5,11.19,17.14,9.03,61.38,1.87,92.78,9.51
2023,12,6,11.48,16.39,9.22,66.0,1.85,92.98,8.12
2023,12,7,11.0,15.3,9.03,68.75,1.41,92.91,7.53
2023,12,8,10.42,13.94,8.61,73.44,2.16,92.7,9.89
2023,12,9,8.83,13.4,7.69,65.31,1.55,92.75,8.42
2023,12,10,6.8,12.55,6.71,59.0,1.58,92.65,8.22
2023,12,11,6.05,11.98,6.35,56.06,1.31,92.84,8.38
2023,12,12,6.89,12.44,6.71,59.75,1.55,92.7,9.76
2023,12,13,6.68,12.49,6.65,59.88,1.45,92.7,7.89
2023,12,14,5.83,11.66,6.23,57.38,1.59,92.84,8.4
2023,12,15,4.58,11.44,5.74,53.75,1.64,93.03,9.98
2023,12,16,4.83,11.68,5.86,52.62,1.42,92.91,10.96
2023,12,17,4.82,11.32,5.86,54.0,1.5,92.95,9.62
2023,12,18,4.5,11.47,5.8,53.25,1.55,93.0,9.64
2023,12,19,5.48,11.56,6.16,55.88,1.49,93.07,8.79
2023,12,20,5.86,12.41,6.29,57.06,1.36,93.09,10.12
2023,12,21,6.69,13.42,6.65,54.31,1.31,92.97,7.93
2023,12,22,8.79,13.8,7.69,63.0,1.3,93.01,7.73
2023,12,23,10.63,15.47,8.61,69.19,1.85,93.23,10.55
2023,12,24,10.41,14.9,8.48,68.0,1.75,93.2,9.66
2023,12,25,9.35,14.25,7.93,66.12,1.47,93.1,9.25
2023,12,26,9.18,13.97,7.81,65.38,1.63,93.12,9.61
2023,12,27,9.31,13.94,7.87,66.31,1.64,93.22,9.29
2023,12,28,8.96,13.73,7.69,64.12,1.8,93.08,8.36
2023,12,29,7.11,13.17,6.84,59.0,1.66,93.12,9.52
2023,12,30,5.87,12.81,6.29,57.19,1.81,93.03,10.75
2023,12,31,4.82,12.77,5.8,53.12,1.73,93.0,10.89
2024,1,1,4.61,11.82,5.74,53.88,1.99,92.94,10.18
2024,1,2,4.6,11.41,5.74,54.5,1.63,92.91,9.16
2024,1,3,4.92,11.42,5.86,55.88,1.75,92.92,9.53
2024,1,4,4.87,11.75,5.86,56.81,1.98,92.88,10.87
2024,1,5,5.03,11.8,5.98,54.81,1.73,92.94,10.09
2024,1,6,6.34,12.74,6.53,59.19,1.64,93.03,10.06
2024,1,7,8.42,13.23,7.45,66.06,1.77,93.07,8.58
2024,1,8,7.73,12.61,7.08,65.12,2.05,93.06,9.48
2024,1,9,4.07,12.15,5.49,51.56,1.93,93.01,10.13
2024,1,10,3.83,12.03,5.49,51.44,1.92,92.82,9.85
2024,1,11,4.26,10.86,5.62,56.56,1.88,92.94,9.12
2024,1,12,2.43,10.7,4.94,49.81,1.53,92.94,10.66
2024,1,13,2.3,11.03,4.88,46.44,1.26,92.89,9.9
2024,1,14,3.3,11.67,5.25,48.81,1.63,92.89,9.72
2024,1,15,3.12,11.43,5.13,49.94,1.55,92.83,10.7
2024,1,16,3.26,11.22,5.19,50.44,1.52,92.75,10.42
2024,1,17,3.63,10.52,5.37,54.94,1.55,92.76,9.55
2024,1,18,3.13,10.28,5.13,56.81,2.06,92.82,10.29
2024,1,19,1.92,9.69,4.7,54.12,1.76,92.94,10.59
2024,1,20,1.42,9.76,4.58,51.0,1.75,92.95,11.62
2024,1,21,1.19,9.52,4.52,50.5,2.09,92.82,10.14
2024,1,22,0.98,9.69,4.39,50.88,1.79,93.08,12.17
2024,1,23,1.54,10.28,4.64,48.31,1.74,92.93,11.12
2024,1,24,1.3,10.25,4.52,48.06,1.93,92.92,10.23
2024,1,25,0.56,9.74,4.27,48.44,2.09,93.08,10.24
2024,1,26,0.81,10.0,4.33,49.69,2.05,93.2,10.56
2024,1,27,0.69,9.44,4.33,48.75,1.9,93.06,9.66
2024,1,28,1.12,10.28,4.46,48.56,1.74,93.1,11.93
2024,1,29,1.25,11.09,4.52,45.56,1.81,93.0,11.5
2024,1,30,1.47,11.24,4.58,45.56,1.98,92.88,10.48
2024,1,31,2.32,11.65,4.88,47.69,2.07,92.88,11.31
2024,2,1,2.94,12.77,5.07,49.25,2.48,92.96,12.69
2024,2,2,2.5,12.95,4.94,49.12,3.29,92.73,12.09
2024,2,3,0.53,11.55,4.27,42.44,2.12,92.62,12.34
2024,2,4,2.66,11.38,5.0,51.31,1.95,93.01,10.04
2024,2,5,5.85,12.87,6.23,62.12,2.12,92.99,11.07
2024,2,6,4.08,13.29,5.55,53.25,2.61,92.92,12.37
2024,2,7,0.04,12.08,4.15,42.25,2.76,92.87,12.93
2024,2,8,-2.23,10.71,3.48,39.0,2.72,92.72,13.7
2024,2,9,-2.51,11.06,3.42,35.25,1.91,93.12,13.48
2024,2,10,-1.6,12.58,3.66,32.69,2.09,93.25,13.3
2024,2,11,-1.49,13.26,3.72,30.81,1.87,93.22,11.97
2024,2,12,-0.1,14.44,4.09,32.5,2.09,93.17,11.93
2024,2,13,1.68,15.71,4.7,35.25,1.86,93.18,9.24
2024,2,14,3.81,13.83,5.43,46.31,0.98,93.07,5.62
2024,2,15,5.02,15.15,5.92,48.5,2.44,93.07,11.18
2024,2,16,4.08,15.51,5.49,44.0,2.36,93.11,11.8
2024,2,17,3.13,14.57,5.19,42.75,2.48,92.71,10.92
2024,2,18,1.27,15.12,4.52,36.44,2.03,92.71,10.91
2024,2,19,2.16,16.22,4.82,36.38,2.2,92.78,12.48
2024,2,20,4.65,17.5,5.8,39.5,2.39,92.54,11.45
2024,2,21,7.56,16.73,7.08,53.12,2.48,92.44,9.73
2024,2,22,5.4,16.55,6.23,48.56,2.55,92.46,11.33
2024,2,23,-2.3,14.64,3.48,31.94,2.49,92.66,13.07
2024,2,24,-4.68,13.41,2.87,25.56,2.08,92.89,11.94
2024,2,25,-3.81,14.54,3.11,27.31,2.55,92.93,13.95
2024,2,26,-2.17,16.34,3.54,27.38,2.59,92.98,12.16
2024,2,27,-0.32,17.55,4.09,29.56,2.98,92.87,13.86
2024,2,28,4.73,17.29,5.8,44.0,2.84,92.56,12.91
2024,2,29,5.01,17.4,5.92,43.31,2.43,92.66,12.2
2024,3,1,3.35,17.93,5.25,36.56,2.28,92.78,11.95
2024,3,2,4.5,18.63,5.8,39.25,2.75,92.76,12.77
2024,3,3,9.29,18.05,7.93,59.94,2.69,92.8,10.63
2024,3,4,7.51,19.15,7.14,52.94,3.23,92.7,13.33
2024,3,5,2.05,17.32,4.82,37.12,3.02,92.64,14.19
2024,3,6,-0.13,17.42,4.09,31.44,2.52,92.62,13.93
2024,3,7,0.8,17.99,4.39,32.5,2.7,92.6,13.73
2024,3,8,1.54,17.98,4.64,33.44,2.55,92.6,13.6
2024,3,9,1.8,17.81,4.7,34.44,2.56,92.66,13.28
2024,3,10,1.01,17.8,4.46,32.31,2.32,92.84,14.7
2024,3,11,2.42,19.4,4.88,31.81,2.15,92.92,12.08
2024,3,12,2.67,20.33,5.0,31.12,3.05,92.59,13.46
2024,3,13,3.31,20.4,5.25,32.5,3.02,92.52,13.45
2024,3,14,2.26,20.48,4.88,30.62,3.13,92.62,13.27
2024,3,15,2.65,21.06,5.0,29.94,2.81,92.63,13.27
2024,3,16,0.65,20.4,4.33,27.94,2.95,92.82,13.62
2024,3,17,-2.3,19.69,3.48,21.88,2.52,92.76,13.2
2024,3,18,-1.71,20.65,3.66,22.69,2.52,92.7,13.75
2024,3,19,0.92,21.05,4.46,27.0,2.7,92.69,16.0
2024,3,20,10.08,16.35,8.73,67.5,2.55,92.81,7.37
2024,3,21,11.92,17.22,9.4,74.94,1.91,92.77,8.5
2024,3,22,11.18,19.16,8.97,62.5,2.64,92.43,10.52
2024,3,23,8.9,20.94,7.75,49.12,2.59,92.23,12.11
2024,3,24,6.03,21.26,6.35,37.38,2.33,92.5,13.37
2024,3,25,7.94,21.03,7.26,44.0,2.54,92.64,9.04
2024,3,26,9.14,21.94,7.81,45.56,2.2,92.57,12.41
2024,3,27,8.26,22.08,7.39,41.12,2.11,92.78,11.23
2024,3,28,8.78,23.19,7.69,41.19,2.45,92.58,13.79
2024,3,29,11.27,23.91,9.09,45.44,2.5,92.5,10.38
2024,3,30,10.95,25.28,8.85,43.44,2.98,92.52,13.64
2024,3,31,8.77,25.63,7.69,35.62,3.82,92.36,13.79
2024,4,1,5.49,24.02,6.16,31.88,4.09,92.05,13.29
2024,4,2,2.38,25.26,4.94,24.81,3.28,92.03,13.84
2024,4,3,1.41,25.73,4.64,22.25,3.02,92.18,15.34
2024,4,4,2.36,27.74,4.94,21.44,4.48,92.17,15.66
2024,4,5,4.05,27.03,5.62,24.25,3.31,92.12,12.09
2024,4,6,2.8,25.82,5.13,23.12,2.79,92.16,12.64
2024,4,7,0.68,26.08,4.39,20.19,3.91,92.15,15.16
2024,4,8,-2.92,25.3,3.42,16.56,3.27,92.35,15.44
2024,4,9,-3.7,24.9,3.23,15.56,3.2,92.43,14.91
2024,4,10,-1.69,25.42,3.72,17.81,3.19,92.47,15.48
2024,4,11,-1.05,25.72,3.91,18.75,3.03,92.59,17.26
2024,4,12,0.3,25.44,4.27,20.06,2.75,92.52,14.91
2024,4,13,2.21,25.95,4.88,23.0,2.77,92.52,15.56
2024,4,14,4.41,27.15,5.68,24.5,3.08,92.57,14.25
2024,4,15,5.98,27.83,6.35,26.0,3.29,92.43,14.8
2024,4,16,7.15,28.96,6.9,26.88,2.79,92.22,14.22
2024,4,17,5.9,27.2,6.35,27.75,2.69,92.01,13.71
2024,4,18,5.41,28.68,6.16,24.88,2.55,91.93,14.15
2024,4,19,5.13,29.4,6.04,24.56,3.02,91.72,17.17
2024,4,20,1.49,29.74,4.76,18.56,5.54,91.67,16.71
2024,4,21,0.15,28.83,4.33,17.38,4.38,91.83,15.81
2024,4,22,2.96,28.97,5.25,21.31,3.86,92.01,15.1
2024,4,23,3.28,29.1,5.31,20.88,3.88,91.95,14.23
2024,4,24,2.29,27.97,4.94,21.06,3.55,91.95,14.43
2024,4,25,-0.24,28.52,4.15,17.25,3.69,91.93,16.84
2024,4,26,-0.6,28.51,4.03,16.12,3.01,91.95,16.1
2024,4,27,3.3,30.18,5.43,19.69,3.57,92.02,15.68
2024,4,28,2.83,30.18,5.25,20.69,4.3,92.0,15.33
2024,4,29,1.08,29.84,4.52,16.81,4.38,92.05,15.66
2024,4,30,0.14,30.78,4.27,15.69,4.62,91.71,16.05
2024,5,1,-2.83,28.92,3.48,14.38,4.27,91.65,15.24
2024,5,2,-5.19,26.82,2.87,12.62,3.55,91.72,12.84
2024,5,3,-2.77,27.67,3.42,13.94,2.56,92.0,15.88
2024,5,4,0.62,28.08,4.39,17.88,2.32,92.07,12.63
2024,5,5,2.6,28.87,5.07,20.69,2.45,91.78,15.77
2024,5,6,6.7,29.89,6.77,26.81,3.09,92.04,14.34
2024,5,7,13.17,28.33,10.31,44.0,2.83,92.38,10.28
2024,5,8,15.67,25.75,12.02,59.12,3.4,92.45,8.34
2024,5,9,17.33,20.26,13.43,83.38,2.69,92.45,2.97
2024,5,10,16.55,24.74,12.76,65.62,2.1,92.38,10.75
2024,5,11,17.02,27.04,13.12,58.75,1.9,92.43,10.98
2024,5,12,18.6,25.77,14.47,67.44,2.46,92.51,7.57
2024,5,13,17.38,27.53,13.43,60.0,1.67,92.44,10.91
2024,5,14,16.66,28.51,12.82,53.88,1.8,92.44,10.77
2024,5,15,17.08,29.36,13.18,51.88,2.0,92.51,11.12
2024,5,16,15.97,30.51,12.33,46.06,2.22,92.38,11.84
2024,5,17,14.05,28.04,10.93,43.5,2.13,92.16,10.12
2024,5,18,14.93,30.25,11.6,42.44,1.79,91.95,11.29
2024,5,19,15.74,29.95,12.21,47.19,2.67,91.86,12.72
2024,5,20,15.49,29.36,12.02,48.5,2.96,91.98,10.9
2024,5,21,16.26,29.16,12.57,51.25,2.19,92.12,11.26
2024,5,22,17.21,29.26,13.31,53.12,3.44,92.13,11.03
2024,5,23,17.33,29.97,13.43,52.81,2.61,92.03,11.77
2024,5,24,16.67,31.48,12.94,46.88,1.97,91.88,13.56
2024,5,25,16.85,32.75,13.12,44.31,2.16,91.71,13.11
2024,5,26,18.12,33.07,14.22,46.62,2.02,91.64,12.98
2024,5,27,21.42,32.22,17.46,59.0,2.55,91.39,9.55
2024,5,28,19.44,31.0,15.69,56.94,2.27,91.19,11.3
2024,5,29,11.99,31.76,9.77,35.12,2.34,91.37,16.35
2024,5,30,12.77,32.3,10.13,34.69,2.35,91.6,16.55
2024,5,31,14.57,32.38,11.35,37.81,2.37,91.77,13.08
2024,6,1,12.24,30.99,9.77,35.94,2.55,91.9,13.84
2024,6,2,10.72,30.77,8.79,33.5,2.55,91.98,15.4
2024,6,3,10.52,30.94,8.73,31.62,2.18,91.86,14.2
2024,6,4,10.15,30.78,8.48,30.38,2.28,91.93,12.86
2024,6,5,11.05,30.5,8.97,34.5,2.38,92.0,14.12
2024,6,6,10.84,31.03,8.85,32.94,2.74,92.06,14.96
2024,6,7,9.15,31.05,7.93,28.44,2.3,91.87,13.72
2024,6,8,9.49,32.15,8.12,28.0,2.85,91.69,15.8
2024,6,9,9.53,32.83,8.18,27.0,2.51,91.67,15.83
2024,6,10,10.27,33.75,8.54,26.81,2.52,91.7,14.42
2024,6,11,8.47,33.65,7.63,22.94,2.05,91.68,14.05
2024,6,12,12.73,33.5,10.13,31.62,2.62,91.7,14.3
2024,6,13,11.73,33.65,9.58,30.5,2.59,91.55,15.52
2024,6,14,11.04,33.66,9.09,26.44,2.48,91.49,13.3
2024,6,15,12.92,34.36,10.19,31.25,2.59,91.49,15.23
2024,6,16,14.79,34.17,11.54,35.19,2.65,91.59,13.46
2024,6,17,13.6,34.52,10.68,32.69,2.25,91.61,13.24
2024,6,18,14.16,35.4,11.23,31.56,2.67,91.37,13.73
2024,6,19,16.98,35.75,13.31,39.56,2.91,91.29,13.43
2024,6,20,17.77,32.07,13.92,48.0,2.04,91.5,9.1
2024,6,21,20.09,32.58,16.05,55.19,2.17,91.61,9.47
2024,6,22,21.21,30.87,17.15,62.19,2.09,91.69,8.67
2024,6,23,20.87,32.13,16.85,58.44,2.62,91.74,10.77
2024,6,24,20.55,33.3,16.54,52.81,2.55,91.56,9.61
2024,6,25,21.26,32.02,17.27,58.81,2.88,91.51,9.22
2024,6,26,23.04,26.28,19.29,82.31,3.12,91.73,3.19
2024,6,27,20.53,30.01,16.48,61.06,2.19,91.84,10.77
2024,6,28,22.48,29.33,18.55,71.94,2.63,91.7,7.73
2024,6,29,22.63,30.19,18.74,69.5,2.14,91.61,8.48
2024,6,30,22.56,30.13,18.74,70.5,2.41,91.53,9.39
2024,7,1,22.33,30.22,18.43,68.19,2.23,91.34,7.65
